,date,ticker,open,high,low,close,volume,adjusted,returns
1,1/3/2020,AAPL,74.2875,75.145,74.125,74.3575,146322800,71.6967,-0.009768484
2,1/6/2020,AAPL,73.4475,74.99,73.1875,74.95,118387200,72.2679,0.007935326
3,1/7/2020,AAPL,74.96,75.225,74.37,74.5975,108872000,71.928,-0.004714428
4,1/8/2020,AAPL,74.29,76.11,74.29,75.7975,132079200,73.0851,0.015958897
5,1/9/2020,AAPL,76.81,77.6075,76.55,77.4075,170108400,74.6375,0.021018546
6,1/10/2020,AAPL,77.65,78.1675,77.0625,77.5825,140644800,74.8062,0.002257707
7,1/13/2020,AAPL,77.91,79.2675,77.7875,79.24,121532000,76.4044,0.021139517
8,1/14/2020,AAPL,79.175,79.3925,78.0425,78.17,161954400,75.3727,-0.013595146
9,1/15/2020,AAPL,77.9625,78.875,77.3875,77.835,121923600,75.0497,-0.00429458
10,1/16/2020,AAPL,78.3975,78.925,78.0225,78.81,108829200,75.9898,0.01244856
11,1/17/2020,AAPL,79.0675,79.685,78.75,79.6825,137816400,76.8311,0.011010385
12,1/21/2020,AAPL,79.2975,79.755,79,79.1425,110843200,76.3104,-0.006800273
13,1/22/2020,AAPL,79.645,79.9975,79.3275,79.425,101832400,76.5828,0.003563275
14,1/23/2020,AAPL,79.48,79.89,78.9125,79.8075,104472000,76.9516,0.004804144
15,1/24/2020,AAPL,80.0625,80.8325,79.38,79.5775,146537600,76.7298,-0.002886493
16,1/27/2020,AAPL,77.515,77.9425,76.22,77.2375,161940000,74.4736,-0.029845459
17,1/28/2020,AAPL,78.15,79.6,78.0475,79.4225,162234000,76.5804,0.027896469
18,1/29/2020,AAPL,81.1125,81.9625,80.345,81.085,216229200,78.1834,0.020716179
19,1/30/2020,AAPL,80.135,81.0225,79.6875,80.9675,126743200,78.0701,-0.001450208
20,1/31/2020,AAPL,80.2325,80.67,77.0725,77.3775,199588400,74.6086,-0.045351359
21,2/3/2020,AAPL,76.075,78.3725,75.555,77.165,173788400,74.4037,-0.00275011
22,2/4/2020,AAPL,78.8275,79.91,78.4075,79.7125,136616400,76.86,0.032479913
23,2/5/2020,AAPL,80.88,81.19,79.7375,80.3625,118826800,77.4867,0.008120724
24,2/6/2020,AAPL,80.6425,81.305,80.065,81.3025,105425600,78.3931,0.011629605
25,2/7/2020,AAPL,80.5925,80.85,79.5,80.0075,117684000,77.3275,-0.013686264
26,2/10/2020,AAPL,78.545,80.3875,78.4625,80.3875,109348800,77.6948,0.004738682
27,2/11/2020,AAPL,80.9,80.975,79.6775,79.9025,94323200,77.2261,-0.006050848
28,2/12/2020,AAPL,80.3675,81.805,80.3675,81.8,113730400,79.06,0.023469575
29,2/13/2020,AAPL,81.0475,81.555,80.8375,81.2175,94747600,78.497,-0.00714665
30,2/14/2020,AAPL,81.185,81.495,80.7125,81.2375,80113600,78.5163,0.000245839
31,2/18/2020,AAPL,78.84,79.9375,78.6525,79.75,152531200,77.0787,-0.018479269
32,2/19/2020,AAPL,80,81.1425,80,80.905,93984000,78.195,0.014378729
33,2/20/2020,AAPL,80.6575,81.1625,79.5525,80.075,100566000,77.3928,-0.010311954
34,2/21/2020,AAPL,79.655,80.1125,77.625,78.2625,129554000,75.641,-0.022895289
35,2/24/2020,AAPL,74.315,76.045,72.3075,74.545,222195200,72.048,-0.048665901
36,2/25/2020,AAPL,75.2375,75.6325,71.5325,72.02,230673600,69.6076,-0.034458807
37,2/26/2020,AAPL,71.6325,74.47,71.625,73.1625,198054800,70.7118,0.015738705
38,2/27/2020,AAPL,70.275,71.5,68.24,68.38,320605600,66.0895,-0.067602577
39,2/28/2020,AAPL,64.315,69.6025,64.0925,68.34,426510000,66.0509,-0.000584227
40,3/2/2020,AAPL,70.57,75.36,69.43,74.7025,341397200,72.2003,0.089018544
41,3/3/2020,AAPL,75.9175,76,71.45,72.33,319475600,69.9072,-0.032275553
42,3/4/2020,AAPL,74.11,75.85,73.2825,75.685,219178400,73.1498,0.045340745
43,3/5/2020,AAPL,73.88,74.8875,72.8525,73.23,187572800,70.7771,-0.032973891
44,3/6/2020,AAPL,70.5,72.705,70.3075,72.2575,226176800,69.8372,-0.013368683
45,3/9/2020,AAPL,65.9375,69.5225,65.75,66.5425,286744800,64.3136,-0.082395702
46,3/10/2020,AAPL,69.285,71.61,67.3425,71.335,285290000,68.9455,0.06954522
47,3/11/2020,AAPL,69.3475,70.305,67.965,68.8575,255598800,66.551,-0.035347766
48,3/12/2020,AAPL,63.985,67.5,62,62.0575,418474000,59.9788,-0.103977405
49,3/13/2020,AAPL,66.2225,69.98,63.2375,69.4925,370732000,67.1648,0.113158134
50,3/16/2020,AAPL,60.4875,64.77,60,60.5525,322423600,58.5242,-0.137708957
51,3/17/2020,AAPL,61.8775,64.4025,59.6,63.215,324056000,61.0975,0.043030605
52,3/18/2020,AAPL,59.9425,62.5,59.28,61.6675,300233600,59.6019,-0.024783496
53,3/19/2020,AAPL,61.8475,63.21,60.6525,61.195,271857200,59.1452,-0.007692015
54,3/20/2020,AAPL,61.795,62.9575,57,57.31,401693200,55.3903,-0.065590949
55,3/23/2020,AAPL,57.02,57.125,53.1525,56.0925,336752800,54.2136,-0.021472689
56,3/24/2020,AAPL,59.09,61.9225,58.575,61.72,287531200,59.6526,0.095605936
57,3/25/2020,AAPL,62.6875,64.5625,61.075,61.38,303602000,59.324,-0.005523789
58,3/26/2020,AAPL,61.63,64.67,61.59,64.61,252087200,62.4458,0.051285035
59,3/27/2020,AAPL,63.1875,63.9675,61.7625,61.935,204216800,59.8604,-0.042283796
60,3/30/2020,AAPL,62.685,63.88,62.35,63.7025,167976400,61.5687,0.02813844
61,3/31/2020,AAPL,63.9,65.6225,63,63.5725,197002000,61.4431,-0.002042081
62,4/1/2020,AAPL,61.625,62.18,59.7825,60.2275,176218400,58.2101,-0.054052664
63,4/2/2020,AAPL,60.085,61.2875,59.225,61.2325,165934000,59.1814,0.016548424
64,4/3/2020,AAPL,60.7,61.425,59.7425,60.3525,129880000,58.3309,-0.014475333
65,4/6/2020,AAPL,62.725,65.7775,62.345,65.6175,201820400,63.4196,0.083640992
66,4/7/2020,AAPL,67.7,67.925,64.75,64.8575,202887200,62.685,-0.011650777
67,4/8/2020,AAPL,65.685,66.8425,65.3075,66.5175,168895200,64.2894,0.025272581
68,4/9/2020,AAPL,67.175,67.5175,66.175,66.9975,161834800,64.7533,0.007189899
69,4/13/2020,AAPL,67.0775,68.425,66.4575,68.3125,131022800,66.0243,0.019438192
70,4/14/2020,AAPL,70,72.0625,69.5125,71.7625,194994800,69.3587,0.049268733
71,4/15/2020,AAPL,70.6,71.5825,70.1575,71.1075,131154400,68.7257,-0.00916837
72,4/16/2020,AAPL,71.845,72.05,70.5875,71.6725,157125200,69.2717,0.007913234
73,4/17/2020,AAPL,71.1725,71.7375,69.215,70.7,215250000,68.3318,-0.013661202
74,4/20/2020,AAPL,69.4875,70.42,69.2125,69.2325,130015200,66.9135,-0.020974511
75,4/21/2020,AAPL,69.07,69.3125,66.3575,67.0925,180991600,64.8451,-0.031399392
76,4/22/2020,AAPL,68.4025,69.475,68.05,69.025,116862400,66.7129,0.028396989
77,4/23/2020,AAPL,68.9675,70.4375,68.7175,68.7575,124814400,66.4544,-0.003882339
78,4/24/2020,AAPL,69.3,70.7525,69.25,70.7425,126161200,68.3729,0.028460549
79,4/27/2020,AAPL,70.45,71.135,69.9875,70.7925,117087600,68.4212,0.000706171
80,4/28/2020,AAPL,71.27,71.4575,69.55,69.645,112004800,67.3121,-0.016342706
81,4/29/2020,AAPL,71.1825,72.4175,70.9725,71.9325,137280800,69.523,0.032317621
82,4/30/2020,AAPL,72.49,73.6325,72.0875,73.45,183064000,70.9897,0.020877163
83,5/1/2020,AAPL,71.5625,74.75,71.4625,72.2675,240616800,69.8468,-0.016230524
84,5/4/2020,AAPL,72.2925,73.4225,71.58,73.29,133568000,70.8351,0.014050368
85,5/5/2020,AAPL,73.765,75.25,73.615,74.39,147751200,71.8982,0.014896589
86,5/6/2020,AAPL,75.115,75.81,74.7175,75.1575,142333600,72.64,0.010264505
87,5/7/2020,AAPL,75.805,76.2925,75.4925,75.935,115215200,73.3915,0.010292391
88,5/8/2020,AAPL,76.41,77.5875,76.0725,77.5325,133838400,75.1383,0.02352229
89,5/11/2020,AAPL,77.025,79.2625,76.81,78.7525,145946400,76.3206,0.015612473
90,5/12/2020,AAPL,79.4575,79.9225,77.7275,77.8525,162301200,75.4484,-0.01149391
91,5/13/2020,AAPL,78.0375,78.9875,75.8025,76.9125,200622400,74.5374,-0.012147966
92,5/14/2020,AAPL,76.1275,77.4475,75.3825,77.385,158929200,74.9954,0.006125765
93,5/15/2020,AAPL,75.0875,76.975,75.0525,76.9275,166348400,74.552,-0.00592991
94,5/18/2020,AAPL,78.2925,79.125,77.58,78.74,135178400,76.3085,0.023287466
95,5/19/2020,AAPL,78.7575,79.63,78.2525,78.285,101729600,75.8676,-0.005794619
96,5/20/2020,AAPL,79.17,79.88,79.13,79.8075,111504800,77.3431,0.019261652
97,5/21/2020,AAPL,79.665,80.2225,78.9675,79.2125,102688800,76.7664,-0.007484324
98,5/22/2020,AAPL,78.9425,79.8075,78.8375,79.7225,81803200,77.2607,0.006418373
99,5/26/2020,AAPL,80.875,81.06,79.125,79.1825,125522000,76.7373,-0.006797517
100,5/27/2020,AAPL,79.035,79.6775,78.2725,79.5275,112945200,77.0717,0.004348257
101,5/28/2020,AAPL,79.1925,80.86,78.9075,79.5625,133560800,77.1056,0.000439753
102,5/29/2020,AAPL,79.8125,80.2875,79.1175,79.485,153532400,77.0305,-0.000974464
103,6/1/2020,AAPL,79.4375,80.5875,79.3025,80.4625,80791200,77.9778,0.012222723
104,6/2/2020,AAPL,80.1875,80.86,79.7325,80.835,87642800,78.3388,0.004618839
105,6/3/2020,AAPL,81.165,81.55,80.575,81.28,104491200,78.7701,0.005490473
106,6/4/2020,AAPL,81.0975,81.405,80.195,80.58,87560400,78.0917,-0.008649706
107,6/5/2020,AAPL,80.8375,82.9375,80.8075,82.875,137250400,80.3158,0.028082587
108,6/8/2020,AAPL,82.5625,83.4,81.83,83.365,95654400,80.7907,0.005895496
109,6/9/2020,AAPL,83.035,86.4025,83.0025,85.9975,147712400,83.3419,0.031089564
110,6/10/2020,AAPL,86.975,88.6925,86.5225,88.21,166651600,85.4861,0.025402366
111,6/11/2020,AAPL,87.3275,87.765,83.87,83.975,201662400,81.3818,-0.049202129
112,6/12/2020,AAPL,86.18,86.95,83.555,84.7,200146000,82.0844,0.008596325
113,6/15/2020,AAPL,83.3125,86.42,83.145,85.7475,138808800,83.0996,0.012291902
114,6/16/2020,AAPL,87.865,88.3,86.18,88.02,165428800,85.3019,0.02615684
115,6/17/2020,AAPL,88.7875,88.85,87.7725,87.8975,114406400,85.1832,-0.001392497
116,6/18/2020,AAPL,87.8525,88.3625,87.305,87.9325,96820400,85.2172,0.00039906
117,6/19/2020,AAPL,88.66,89.14,86.2875,87.43,264476000,84.7302,-0.005731201
118,6/22/2020,AAPL,87.835,89.865,87.7875,89.7175,135445200,86.947,0.025826647
119,6/23/2020,AAPL,91,93.095,90.5675,91.6325,212155600,88.8029,0.02112057
120,6/24/2020,AAPL,91.25,92.1975,89.63,90.015,192623200,87.2354,-0.017809095
121,6/25/2020,AAPL,90.175,91.25,89.3925,91.21,137522400,88.3934,0.013187094
122,6/26/2020,AAPL,91.1025,91.33,88.255,88.4075,205256800,85.6775,-0.031207059
123,6/29/2020,AAPL,88.3125,90.5425,87.82,90.445,130646000,87.6521,0.022785323
124,6/30/2020,AAPL,90.02,91.495,90,91.2,140223200,88.3837,0.008311993
125,7/1/2020,AAPL,91.28,91.84,90.9775,91.0275,110737200,88.2166,-0.00189241
126,7/2/2020,AAPL,91.9625,92.6175,90.91,91.0275,114041600,88.2166,0
127,7/6/2020,AAPL,92.5,93.945,92.4675,93.4625,118655600,90.5764,0.02639854
128,7/7/2020,AAPL,93.8525,94.655,93.0575,93.1725,112424400,90.2953,-0.003108283
